,홍수사상번호,연,월,일,시간,유입량,집단평균 유역평균강수,집단평균 유역강수합,집단평균 유역강수표준편차,집단평균 강우(A지역),집단평균 강우(B지역),집단평균 강우(C지역),집단평균 강우(D지역),집단평균 수위(E지역),집단평균 수위(D지역),집단합 강우(A지역),집단합 강우(B지역),집단합 강우(C지역),집단합 강우(D지역),집단합 수위(E지역),집단합 수위(D지역),집단표준편차 강우(A지역),집단표준편차 강우(B지역),집단표준편차 강우(C지역),집단표준편차 강우(D지역),집단표준편차 수위(E지역),집단표준편차 수위(D지역),평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),평균습도(%rh),최저습도(%rh),평균일강수량(mm),최다일강수량(mm),1시간최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),일조합,일사합
0,1,2006,7,10,8,189.1,6.366666666666666,38.199999999999996,0.047140452079103425,7.0,7.0,7.5,8.0,2.5399999999999996,122.60090278333332,42,42,45,48,15.239999999999998,735.6054167,0.0,0.0,0.5,0.0,4.440892098500626e-16,0.0519606361944773,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
1,1,2006,7,10,9,216.9519618,6.833333333333333,41.0,0.4678556282539398,7.0,8.0,8.5,9.0,2.53,122.59778173333335,42,48,51,54,15.179999999999998,735.5866904000001,0.0,0.0,1.5,1.0,0.0,0.045682647448226955,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
2,1,2006,7,10,10,251.4244187,7.599999999999999,45.599999999999994,0.6708203932499366,7.0,9.0,8.666666666666666,9.5,2.53,122.59466071666667,42,54,52,57,15.179999999999998,735.5679643,0.0,0.0,1.3743685418725535,1.5,0.0,0.04015068248317174,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
3,1,2006,7,10,11,302.812199,9.6,57.599999999999994,1.7262676501632075,8.0,10.0,11.666666666666666,11.333333333333334,2.53,122.59274801666668,48,60,70,68,15.179999999999998,735.5564881,1.0,0.0,3.448026810929534,2.748737083745107,0.0,0.03373800703768357,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
4,1,2006,7,10,12,384.7834064,12.333333333333334,74.0,2.310603576749783,10.166666666666666,12.0,13.666666666666666,13.166666666666666,2.53,122.58742261666669,61,72,82,79,15.179999999999998,735.5245357000001,1.950783318453271,0.0,4.384315479321969,2.852873794770615,0.0,0.0270779285747881,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
5,1,2006,7,10,13,512.5012279,15.133333333333335,90.80000000000001,2.046677524401166,12.166666666666666,14.0,15.666666666666666,14.5,2.53,122.58137500000002,73,84,94,87,15.179999999999998,735.4882500000001,2.4776781245530843,0.0,4.346134936801766,2.692582403567252,0.0,0.022348447932685353,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
6,1,2006,7,10,14,701.5026217,18.28333333333333,109.69999999999999,2.368133348347503,13.666666666666666,17.0,20.5,17.833333333333332,2.53,122.57473215,82,102,123,107,15.179999999999998,735.4483929,2.134374745810949,0.0,6.601767440112787,3.2360813064912666,0.0,0.01736518575903366,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
7,1,2006,7,10,15,952.5260535,22.55,135.3,3.4644624402640023,15.5,24.0,24.0,21.666666666666668,2.5399999999999996,122.56614483333334,93,144,144,130,15.239999999999998,735.396869,1.8027756377319946,0.0,6.531972647421808,5.343739847293799,4.440892098500626e-16,0.013146220960245356,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
8,1,2006,7,10,16,1207.11602,27.866666666666664,167.2,4.220847729491737,18.0,33.0,27.166666666666668,24.5,2.56,122.55283333333331,108,198,163,147,15.360000000000001,735.3169999999999,2.23606797749979,0.0,6.3879226322455995,6.317963807008288,0.0,0.011688463764993991,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
9,1,2006,7,10,17,1392.018525,33.81666666666667,202.9,4.532260902561644,19.666666666666668,40.0,33.166666666666664,29.333333333333332,2.58,122.54102183333332,118,240,199,176,15.48,735.2461309999999,2.1343747458109497,0.0,8.414603707576225,6.649979114420001,0.0,0.01072114540843792,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
10,1,2006,7,10,18,1454.768513,39.96666666666666,239.79999999999998,4.621207153499566,21.833333333333332,46.0,36.833333333333336,36.0,2.61,122.52980554999999,131,276,221,216,15.659999999999998,735.1788333,2.544056253745625,0.0,7.3805299418281765,7.788880963698615,0.0,0.012612619501082743,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
11,1,2006,7,10,19,1426.056687,46.01666666666667,276.1,4.487544490649152,28.333333333333332,51.0,39.833333333333336,44.166666666666664,2.65,122.52131150000001,170,306,239,265,15.9,735.127869,5.82141639885766,0.0,6.8170537787391865,11.950127846828902,0.0,0.013324741522694502,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
12,1,2006,7,10,20,1357.36269,50.46666666666667,302.8,3.1287200080686164,33.333333333333336,56.0,42.5,47.5,2.6999999999999997,122.51563493333333,200,336,255,285,16.2,735.0938096,5.676462121975467,0.0,5.315072906367325,10.012492197250394,4.440892098500626e-16,0.01463957574108386,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
13,1,2006,7,10,21,1293.862205,53.26666666666667,319.6,1.646882576938084,35.833333333333336,57.0,45.0,52.333333333333336,2.7899999999999996,122.51327579999999,215,342,270,314,16.74,735.0796548,5.367080729368206,0.0,3.366501646120693,5.90668171555645,4.440892098500626e-16,0.015547207583681938,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
14,1,2006,7,10,22,1255.51507,54.96666666666666,329.79999999999995,1.0918892902772799,39.166666666666664,58.0,46.833333333333336,57.0,3.0500000000000003,122.5147758,235,348,281,342,18.3,735.0886548,2.4776781245530843,0.0,3.435921354681384,1.0,4.440892098500626e-16,0.016737331437541237,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
15,1,2006,7,10,23,1255.977162,56.23333333333333,337.4,0.8806563209081935,40.333333333333336,58.5,48.0,57.5,3.4600000000000004,122.5189266,242,351,288,345,20.76,735.1135596,1.4907119849998596,0.5,3.2145502536643185,1.5,4.440892098500626e-16,0.017444556380812423,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
16,1,2006,7,10,24,1299.827525,57.36666666666667,344.2,0.825967446224259,41.666666666666664,58.833333333333336,49.166666666666664,58.333333333333336,3.8000000000000003,122.53014284999999,250,353,295,350,22.8,735.1808570999999,1.4907119849998596,0.8975274678557507,3.131382371342656,1.7950549357115015,4.440892098500626e-16,0.01601656737920264,22.7,25.1,32.1,21.0,16.0,85,49,79.9,264.5,62.0,4.2,28.6,40.2,0.2,4.35
17,1,2006,7,11,1,1355.337857,58.5,351.0,0.8306623862918063,43.166666666666664,59.166666666666664,49.833333333333336,60.166666666666664,4.03,122.54866269999998,259,355,299,361,24.180000000000003,735.2919761999999,1.0671873729054746,1.3437096247164249,2.544056253745625,1.863389981249825,0.0,0.013459721898809137,24.0,27.3,30.9,21.3,17.4,83,48,24.5,132.5,44.0,2.0,15.8,28.3,1.4,10.94
18,1,2006,7,11,2,1381.703021,59.48333333333334,356.90000000000003,0.7624886155798568,44.0,59.5,51.0,60.666666666666664,4.16,122.57309721666665,264,357,306,364,24.96,735.4385832999999,1.4142135623730951,1.8027756377319946,2.309401076758503,1.3743685418725535,0.0,0.015349364169284683,24.0,27.3,30.9,21.3,17.4,83,48,24.5,132.5,44.0,2.0,15.8,28.3,1.4,10.94
